ID,LACT,FDAT,DIM,Date,HOSPM,Quarter,Dateok,MAST,Trt_MAST,Trt_dec,TRT,CULTURE,CULT_res,CULT_type,REMAST,Trt_REMAST
36641,4,1/12/2021,152,6/13/2021,HOSPM,LF,6/13/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
36643,4,8/23/2020,,,,,4/23/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,MXLF,MX,,
36649,4,10/30/2020,242,6/29/2021,HOSPM,LR,6/29/2021,,,,,CULTURE,MXLR,MX,,
36650,4,7/15/2020,320,5/31/2021,HOSPM,RF,5/31/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
36790,4,10/8/2020,227,5/23/2021,HOSPM,RF,5/23/2021,MAST,SP2RF,SP2RF,1,CULTURE,GNRF,GN,,
36843,4,10/20/2020,191,4/29/2021,HOSPM,RR,4/29/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
37091,4,12/18/2020,147,5/14/2021,HOSPM,RF,5/14/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
37149,4,9/25/2020,196,4/9/2021,HOSPM,RR,4/9/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
37163,4,8/30/2020,251,5/8/2021,HOSPM,RR,5/8/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
37184,4,9/16/2020,291,7/4/2021,HOSPM,LF,7/4/2021,,,,,,,,,
37184,4,9/16/2020,,,,,7/7/2021,,,,,CULTURE,NG,NG,,
37187,4,8/18/2020,,,,,4/6/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
37257,4,12/1/2020,133,4/13/2021,HOSPM,BLOOD,4/13/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
37257,4,12/1/2020,145,4/25/2021,HOSPM,LR,4/25/2021,,,,,,,,,
37275,4,11/16/2020,171,5/6/2021,HOSPM,LR,5/6/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
37275,4,11/16/2020,,,,,5/9/2021,,,,,,,,REMAST,SPECT5LR
37275,4,11/16/2020,207,6/11/2021,HOSPM,LR,6/11/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
37350,4,9/25/2020,,,,,5/12/2021,MAST,SPCT3ERR,SPCT3,1,,,,,
37433,4,7/24/2020,,,,,4/30/2021,,,,,CULTURE,GPRR,GP,,
37459,4,11/8/2020,,,,,4/27/2021,MAST,NOTXTOLF,NOTXT,0,,,,,
37473,4,8/8/2020,265,4/30/2021,HOSPM,RR,4/30/2021,MAST,SPCT3RR,SPCT3,1,,,,,
37475,4,10/4/2020,186,4/8/2021,HOSPM,LF,4/8/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
37490,4,9/12/2020,,,,,4/7/2021,MAST,NOTXTO,NOTXT,0,,,,,
37490,4,9/12/2020,208,4/8/2021,HOSPM,LF,4/8/2021,,,,,CULTURE,GNLF,GN,,
37579,4,2/13/2021,80,5/4/2021,HOSPM,RR,5/4/2021,MAST,SP5RR,SP5RR,1,CULTURE,GNRR,GN,,
