id,healthy,sick_days,first_day_in_milk,lactation_number
49096,false,17,2021-05-14,1
49097,false,29,2021-05-02,1
49103,false,21,2021-05-03,1
49113,false,27,2021-05-04,1
49131,false,16,2021-06-07,1
49139,false,13,2021-06-08,1
49147,false,30,2021-04-28,1
49154,false,21,2021-06-21,1
49157,false,15,2021-06-27,1
49167,false,17,2021-05-28,1
49168,false,21,2021-05-24,1
49171,false,23,2021-05-29,1
49172,false,24,2021-05-07,1
49174,false,11,2021-05-08,1
49190,false,29,2021-05-10,1
49208,false,29,2021-05-11,1
49212,false,23,2021-05-10,1
49216,false,20,2021-06-17,1
49222,false,19,2021-05-26,1
49227,false,26,2021-05-07,1
49233,false,20,2021-06-01,1
49234,false,18,2021-06-10,1
49236,false,16,2021-06-14,1
49240,false,18,2021-05-22,1
49245,false,22,2021-06-08,1
49246,false,20,2021-05-18,1
49256,false,22,2021-05-16,1
49257,false,18,2021-06-17,1
49263,false,11,2021-06-03,1
49264,false,13,2021-06-15,1
49272,false,16,2021-07-10,1
49274,false,13,2021-05-11,1
49277,false,23,2021-05-17,1
49282,false,19,2021-06-02,1
49285,false,17,2021-06-27,1
49287,false,15,2021-06-29,1
49301,false,21,2021-05-12,1
49321,false,15,2021-06-22,1
49328,false,14,2021-06-16,1
49345,false,23,2021-05-31,1
49346,false,21,2021-05-19,1
49358,false,16,2021-06-12,1
49361,false,20,2021-06-22,1
49364,false,12,2021-06-16,1
49371,false,10,2021-06-04,1
49374,false,16,2021-06-05,1
49388,false,24,2021-06-04,1
49391,false,18,2021-06-03,1
49415,false,15,2021-06-15,1
49420,false,20,2021-05-18,1
49470,false,13,2021-06-22,1
49475,false,14,2021-05-24,1
49496,false,25,2021-06-03,1
49536,false,15,2021-06-27,1
49538,false,15,2021-06-06,1
49546,false,22,2021-07-16,1
49549,false,23,2021-05-31,1
49551,false,12,2021-06-11,1
49553,false,13,2021-06-24,1
49572,false,12,2021-06-18,1
49573,false,12,2021-06-11,1
49588,false,15,2021-06-15,1
49590,false,15,2021-06-29,1
49592,false,20,2021-06-22,1
49613,false,14,2021-06-07,1
49633,false,14,2021-06-16,1
49635,false,15,2021-06-22,1
49649,false,20,2021-06-25,1
49672,false,12,2021-06-30,1
49673,false,14,2021-06-09,1
49691,false,10,2021-06-18,1
49744,false,13,2021-06-24,1
49801,false,17,2021-06-13,1
49834,false,15,2021-07-11,1
49857,false,14,2021-06-30,1
49860,false,16,2021-07-10,1
49888,false,15,2021-07-18,1
50023,false,8,2021-07-18,1
50037,false,18,2021-07-15,1
50091,false,17,2021-07-16,1
50105,false,8,2021-07-18,1
50115,false,11,2021-07-15,1
50223,false,15,2021-06-08,1
